facts,node_amount,max_depth
2,4,4
13,2,2
9,3,3
8,4,4
2,6,6
2,2,2
15,2,2
2,3,3
2,2,2
12,4,4
1,3,3
1,2,2
3,4,4
2,2,2
4,4,4
2,3,3
2,3,3
2,2,2
1,3,3
2,3,3
1,3,3
3,2,2
2,3,3
1,5,5
6,3,3
2,4,4
2,3,3
2,2,2
1,2,2
2,2,2
2,3,3
1,2,2
2,3,3
1,4,4
3,3,3
1,3,3
2,3,3
2,3,3
1,4,4
8,3,3
10,5,5
4,5,5
2,2,2
2,2,2
2,4,4
2,2,2
2,2,2
7,2,2
2,2,2
2,3,3
2,3,3
4,3,3
11,2,2
2,2,2
14,4,4
6,4,4
2,2,2
2,4,4
6,4,4
6,2,2
2,2,2
2,2,2
1,3,3
2,3,3
5,3,3
2,2,2
2,3,3
4,3,3
2,2,2
10,2,2
5,2,2
2,2,2
2,3,3
2,3,3
2,3,3
2,2,2
2,2,2
1,2,2
10,4,4
2,3,3
4,3,3
4,3,3
2,2,2
2,4,4
4,2,2
2,3,3
2,2,2
3,4,4
4,4,4
8,2,2
2,4,4
3,2,2
1,3,3
2,4,4
1,4,4
6,4,4
1,4,4
3,4,4
4,2,2
2,2,2
2,5,5
2,2,2
2,4,4
5,2,2
2,2,2
18,2,2
1,4,4
2,3,3
4,3,3
12,3,3
2,2,2
1,6,6
2,3,3
5,2,2
2,3,3
2,2,2
7,3,3
2,2,2
2,8,8
1,3,3
2,2,2
8,4,4
2,2,2
2,2,2
8,2,2
6,3,3
2,4,4
2,4,4
7,3,3
4,3,3
2,3,3
2,2,2
2,2,2
2,3,3
4,4,4
2,2,2
1,3,3
2,3,3
12,4,4
2,4,4
4,2,2
24,4,4
1,3,3
2,2,2
2,2,2
2,3,3
18,5,5
2,2,2
3,2,2
2,6,6
3,2,2
2,2,2
2,3,3
6,3,3
2,3,3
4,3,3
3,3,3
2,2,2
12,4,4
2,2,2
6,2,2
2,3,3
5,2,2
11,2,2
12,6,6
1,2,2
2,2,2
2,4,4
2,2,2
1,2,2
5,2,2
10,4,4
2,2,2
6,4,4
2,2,2
2,4,4
3,3,3
2,3,3
2,3,3
3,3,3
4,2,2
2,3,3
2,3,3
2,2,2
2,5,5
14,6,6
2,2,2
2,2,2
8,5,5
12,6,6
2,4,4
5,3,3
4,3,3
6,2,2
8,6,6
1,2,2
1,2,2
2,2,2
1,3,3
6,5,5
1,3,3
2,7,7
9,2,2
3,3,3
2,2,2
6,4,4
6,2,2
2,4,4
2,2,2
1,2,2
2,3,3
8,6,6
2,4,4
5,2,2
18,4,4
4,2,2
2,3,3
2,2,2
2,3,3
3,2,2
2,4,4
2,5,5
6,4,4
1,5,5
2,3,3
10,3,3
7,2,2
2,2,2
2,4,4
2,2,2
2,2,2
3,4,4
1,2,2
2,2,2
2,2,2
2,2,2
2,5,5
2,2,2
9,3,3
6,4,4
7,4,4
1,3,3
2,2,2
8,3,3
2,3,3
2,6,6
8,3,3
1,2,2
7,5,5
1,3,3
1,2,2
10,3,3
5,5,5
2,2,2
2,2,2
4,3,3
5,2,2
2,5,5
2,2,2
2,2,2
4,9,9
2,3,3
9,3,3
2,2,2
2,2,2
2,4,4
2,3,3
4,4,4
2,8,8
6,2,2
12,3,3
2,6,6
4,4,4
1,3,3
2,2,2
5,3,3
2,3,3
9,3,3
2,3,3
2,2,2
1,2,2
1,5,5
1,3,3
2,6,6
2,2,2
3,2,2
2,2,2
4,3,3
3,3,3
1,3,3
2,2,2
7,4,4
2,2,2
2,3,3
2,4,4
2,3,3
1,2,2
2,2,2
1,3,3
14,6,6
2,2,2
2,4,4
2,2,2
2,2,2
2,2,2
1,2,2
2,3,3
14,4,4
3,3,3
6,2,2
2,3,3
18,4,4
2,3,3
11,2,2
2,6,6
1,2,2
2,2,2
4,2,2
2,4,4
1,2,2
1,2,2
4,2,2
3,5,5
4,2,2
1,6,6
2,2,2
1,3,3
1,3,3
1,8,8
2,3,3
2,2,2
2,2,2
2,3,3
2,2,2
2,5,5
1,2,2
1,2,2
2,3,3
3,2,2
4,4,4
8,3,3
6,2,2
2,6,6
2,4,4
4,5,5
2,3,3
2,2,2
2,2,2
14,3,3
1,3,3
6,7,7
1,2,2
2,2,2
6,3,3
3,5,5
2,3,3
2,4,4
2,3,3
7,3,3
2,2,2
2,2,2
2,2,2
7,2,2
1,3,3
4,4,4
2,4,4
2,6,6
2,4,4
5,3,3
2,2,2
1,3,3
6,2,2
3,2,2
5,4,4
2,2,2
1,3,3
3,4,4
6,5,5
1,2,2
4,4,4
4,4,4
3,2,2
1,2,2
4,3,3
2,4,4
17,3,3
2,2,2
2,2,2
2,2,2
3,2,2
2,2,2
2,2,2
2,7,7
1,2,2
6,4,4
1,2,2
2,3,3
3,4,4
2,2,2
2,2,2
6,4,4
1,6,6
10,4,4
6,4,4
4,4,4
2,3,3
6,3,3
2,4,4
3,4,4
2,4,4
2,2,2
2,2,2
2,2,2
1,7,7
8,4,4
1,2,2
1,2,2
2,3,3
2,3,3
2,2,2
2,4,4
10,3,3
2,3,3
2,5,5
4,5,5
2,7,7
5,2,2
2,5,5
1,2,2
2,4,4
2,3,3
4,3,3
2,3,3
1,3,3
5,3,3
6,2,2
16,2,2
2,3,3
5,3,3
1,4,4
2,3,3
2,4,4
2,2,2
4,2,2
6,5,5
1,2,2
2,5,5
1,3,3
1,2,2
1,3,3
2,9,9
4,4,4
2,3,3
6,3,3
2,2,2
2,3,3
2,2,2
1,3,3
2,8,8
1,3,3
16,5,5
2,4,4
4,3,3
1,2,2
2,2,2
3,2,2
2,2,2
2,8,8
20,5,5
10,4,4
5,3,3
7,2,2
2,3,3
2,2,2
2,5,5
6,3,3
2,3,3
10,5,5
3,6,6
2,2,2
2,2,2
1,8,8
1,2,2
2,5,5
6,3,3
18,4,4
4,5,5
2,2,2
1,2,2
3,2,2
2,3,3
2,4,4
6,6,6
10,3,3
1,2,2
1,6,6
2,2,2
3,3,3
6,4,4
2,3,3
1,2,2
1,7,7
2,2,2
2,5,5
2,3,3
1,2,2
2,2,2
1,4,4
2,4,4
2,3,3
2,2,2
10,3,3
2,2,2
12,4,4
3,2,2
2,6,6
2,2,2
3,3,3
6,3,3
1,3,3
2,3,3
2,7,7
2,7,7
3,2,2
1,4,4
2,2,2
1,2,2
2,2,2
2,3,3
12,2,2
2,3,3
5,2,2
1,5,5
2,3,3
2,4,4
1,6,6
2,2,2
1,5,5
2,4,4
2,5,5
1,3,3
8,4,4
2,3,3
1,2,2
1,2,2
2,3,3
2,5,5
5,3,3
1,2,2
30,4,4
2,2,2
5,3,3
12,5,5
2,3,3
2,2,2
2,2,2
2,2,2
2,4,4
2,3,3
1,2,2
2,3,3
5,2,2
3,4,4
3,2,2
2,3,3
2,3,3
2,4,4
2,2,2
3,2,2
3,2,2
2,3,3
1,4,4
9,4,4
2,2,2
2,6,6
1,2,2
2,3,3
12,2,2
3,2,2
6,5,5
2,4,4
2,2,2
2,2,2
1,2,2
2,2,2
3,5,5
1,4,4
8,4,4
1,3,3
1,3,3
2,2,2
2,4,4
6,4,4
2,4,4
6,5,5
2,3,3
20,6,6
2,2,2
3,3,3
8,5,5
5,4,4
3,2,2
2,3,3
3,2,2
1,2,2
2,2,2
2,3,3
2,2,2
2,2,2
2,3,3
2,5,5
14,4,4
1,2,2
6,4,4
1,7,7
1,2,2
2,2,2
1,4,4
2,6,6
1,2,2
2,2,2
6,3,3
1,2,2
